episode,seed,steps,return,success,final_distance,min_distance
0,5042,50,-5.591653227806091,1,0.008047822113669134,0.007908944192562923
1,5043,50,-9.358168125152588,1,0.0034865226149599663,0.0034865226149599663
2,5044,50,-4.0,1,0.008283446623159446,0.008283446623159446
3,5045,50,-7.884477496147156,1,0.03928041228408718,0.0391269964401536
4,5046,50,0.0,1,0.011343117214770963,0.011343117214761859
5,5047,50,-9.580757856369019,1,0.027220638150598456,0.027044458839746224
6,5048,50,-9.302637577056885,1,0.013671155819521264,0.013671155819521264
7,5049,50,-15.841294050216675,1,0.02520695115281618,0.02520695115281618
8,5050,50,-4.124744176864624,1,0.014132678127876233,0.014132678127876233
9,5051,50,-3.0,1,0.009748554255958034,0.009748551349472312
