episode,seed,steps,return,success,final_distance,min_distance
0,5042,50,-5.591653227806091,1,0.008047822113669134,0.007908944192562923
1,5043,50,-9.358168125152588,1,0.0034865226149599663,0.0034865226149599663
2,5044,50,-4.0,1,0.008283446623159446,0.008283446623159446
3,5045,50,-7.884477496147156,1,0.03928041228408718,0.0391269964401536
4,5046,50,0.0,1,0.011343117214770963,0.011343117214761859
5,5047,50,-9.580757856369019,1,0.027220638150598456,0.027044458839746224
6,5048,50,-9.302637577056885,1,0.013671155819521264,0.013671155819521264
7,5049,50,-15.841294050216675,1,0.02520695115281618,0.02520695115281618
8,5050,50,-4.124744176864624,1,0.014132678127876233,0.014132678127876233
9,5051,50,-3.0,1,0.009748554255958034,0.009748551349472312
10,5052,50,-4.0,1,0.007846735590618582,0.007841776171917664
11,5053,50,0.0,1,0.01272336871360268,0.01272336871360268
12,5054,50,-3.0,1,0.017694294108015894,0.015170683846563645
13,5055,50,-9.160622477531433,1,0.02603005785066585,0.023464391392695846
14,5056,50,-4.083029389381409,1,0.007046043045978377,0.007046043045978377
15,5057,50,-6.0,1,0.008500894392670563,0.00847066112073497
16,5058,50,-3.0,1,0.011813230415208277,0.011813230415208277
17,5059,50,-3.0,1,0.012716426207378964,0.012716426207378964
18,5060,50,-6.631687641143799,1,0.01596193245673443,0.01596193245673443
19,5061,50,-8.428675889968872,1,0.01977817143825371,0.019578921145208567
20,5062,50,-9.83420193195343,1,0.013608038693548584,0.013608038693548584
21,5063,50,-11.341908812522888,1,0.017331229503811982,0.012176164267762541
22,5064,50,-8.119051337242126,1,0.015795028864726775,0.015795028864726775
23,5065,50,-9.632745623588562,1,0.015939879664374802,0.015939879664374802
24,5066,50,-4.0111894607543945,1,0.003775655107660416,0.003775655107660416
25,5067,50,-8.484494686126709,1,0.03393964691334859,0.03393964691334859
26,5068,50,-6.409122347831726,1,0.001857159133218201,0.0015660971077366957
27,5069,50,-4.0,1,0.010813022874108512,0.010767430026974407
28,5070,50,-16.27085554599762,1,0.015989881788800987,0.013710374333652697
29,5071,50,0.0,1,0.01882637075529461,0.018509115551556224
30,5072,50,-5.0,1,0.013839102876041239,0.011539835487964348
31,5073,50,-5.05132782459259,1,0.017853696491710355,0.017002025413382287
32,5074,50,-7.175436735153198,1,0.015621868942193093,0.015317231893272594
33,5075,50,-4.086561679840088,1,0.011474258796487493,0.011396492844510851
34,5076,50,-8.347055912017822,1,0.01075910676524708,0.007199278456732565
35,5077,50,-9.44387149810791,1,0.027487250290696347,0.02731935298637925
36,5078,50,-9.57637071609497,1,0.008419703804709935,0.008419703804709935
37,5079,50,-4.465838313102722,1,0.013874043998204725,0.013874043998204725
38,5080,50,-10.654896140098572,1,0.015969600424412735,0.015353062419865532
39,5081,50,-4.0,1,0.007738437659384067,0.007738437659384067
40,5082,50,-3.0,1,0.019071932541795133,0.019071932541795133
41,5083,50,-3.0,1,0.012010934910147854,0.006863947292280942
42,5084,50,-7.405697703361511,1,0.012754769106202591,0.011278518007449133
43,5085,50,-4.0,1,0.013977771737988708,0.013977771737988708
44,5086,50,-9.274367928504944,1,0.02207523629024762,0.021703192108356667
45,5087,50,0.0,1,0.013910276028958647,0.012387705005121201
46,5088,50,-16.049916982650757,1,0.014803832685960826,0.014483152474719851
47,5089,50,-6.7901771068573,1,0.016712365959695843,0.016697328115225764
48,5090,50,0.0,1,0.004111656146920719,0.004111656146920719
49,5091,50,-5.0,1,0.010057094212418854,0.010057094212418854
50,5092,50,-3.0,1,0.017321168179203813,0.017321168179203813
51,5093,50,-6.107138752937317,1,0.015891870237163035,0.012793968417425847
52,5094,50,-4.907817840576172,1,0.01503573205908165,0.009417568132670934
53,5095,50,-4.501804232597351,1,0.017520636474340615,0.017345188231088767
54,5096,50,-6.889076590538025,1,0.021217828117657003,0.01780451607249738
55,5097,50,-6.242087244987488,1,0.00293147812948895,0.00293147812948895
56,5098,50,-6.639234900474548,1,0.0228079515685065,0.0228079515685065
57,5099,50,-6.888371706008911,1,0.03711423213611359,0.03694265202106466
58,5100,50,-4.0,1,0.026689723206871834,0.026678020229213107
59,5101,50,-5.073494791984558,1,0.01291567712266709,0.01291567712266709
60,5102,50,-13.69433319568634,1,0.02512086544167564,0.023521503181564877
61,5103,50,-3.0,1,0.01780425518854561,0.01745978209669821
62,5104,50,-8.0,1,0.021178378655701477,0.021178378655701477
63,5105,50,-4.0,1,0.027775127391911333,0.027549641407582516
64,5106,50,-7.421915173530579,1,0.024129577602525126,0.022032135149136496
65,5107,50,-4.4121503829956055,1,0.003601024705624564,0.0035445404914394986
66,5108,50,-4.0,1,0.023393391505859795,0.023393391505859795
67,5109,50,-6.8118897676467896,1,0.022363812639804578,0.02053739102554028
68,5110,50,-6.788336753845215,1,0.011331918369078518,0.011331918369078518
69,5111,50,-13.645537495613098,1,0.01417441154464513,0.01417441154464513
70,5112,50,-5.263247132301331,1,0.010828137907347865,0.010828137907347865
71,5113,50,-4.0,1,0.0023705593033010626,0.0020460822955927
72,5114,50,-59.98177146911621,0,0.19097144447232628,0.10514881736783074
