episode,seed,steps,return,success,final_distance,min_distance
0,5042,50,-4.0,1,0.015139819154536284,0.015139819154536284
1,5043,50,-4.0,1,0.02518780045257263,0.02518780045257263
2,5044,50,-3.0,1,0.01538368635634764,0.01538368635634764
3,5045,50,-4.0,1,0.02052109528266834,0.02052109528266834
4,5046,50,0.0,1,0.011343117214768973,0.01134311721476186
5,5047,50,-15.0,1,0.016158100993908603,0.0159135388032758
6,5048,50,-12.0,1,0.010828690384775304,0.010828690384775304
7,5049,50,-9.0,1,0.02274077924846695,0.02274077924846695
8,5050,50,-4.0,1,0.023966596828701812,0.022365328874907473
9,5051,50,-3.0,1,0.04600827546408345,0.04592936420201977
