episode,seed,steps,return,success,final_distance,min_distance
0,5042,50,-4.0,1,0.015139819154536284,0.015139819154536284
1,5043,50,-4.0,1,0.02518780045257263,0.02518780045257263
2,5044,50,-3.0,1,0.01538368635634764,0.01538368635634764
3,5045,50,-4.0,1,0.02052109528266834,0.02052109528266834
4,5046,50,0.0,1,0.011343117214768973,0.01134311721476186
5,5047,50,-15.0,1,0.016158100993908603,0.0159135388032758
6,5048,50,-12.0,1,0.010828690384775304,0.010828690384775304
7,5049,50,-9.0,1,0.02274077924846695,0.02274077924846695
8,5050,50,-4.0,1,0.023966596828701812,0.022365328874907473
9,5051,50,-3.0,1,0.04600827546408345,0.04592936420201977
10,5052,50,-4.0,1,0.011267803583509295,0.010970594171057398
11,5053,50,0.0,1,0.024487710881361743,0.024271137606726115
12,5054,50,-3.0,1,0.008922350161239958,0.008922350161239958
13,5055,50,-5.0,1,0.010508669689334726,0.010508669689334726
14,5056,50,-4.0,1,0.0196114679901631,0.01892600013912784
15,5057,50,-6.0,1,0.02256120739971311,0.02256120739971311
16,5058,50,-4.0,1,0.029695455611229465,0.029695455611229465
17,5059,50,-4.0,1,0.022599813559352012,0.022599813559352012
18,5060,50,-6.0,1,0.026377505252815105,0.026377505252815105
19,5061,50,-8.0,1,0.020481981755558876,0.020481981755558876
20,5062,50,-4.0,1,0.027214875670608984,0.026950777004193884
21,5063,50,-11.0,1,0.03307532275089355,0.03307532275089355
22,5064,50,-5.0,1,0.012548819412267901,0.012292025126366839
23,5065,50,-11.0,1,0.021195389705558364,0.020843290791630262
24,5066,50,-4.0,1,0.00611184074895593,0.005578520039748087
25,5067,50,-7.0,1,0.006291898645093556,0.006291898645093556
26,5068,50,-6.0,1,0.02935266338652143,0.02935266338652143
27,5069,50,-4.0,1,0.006704697906985055,0.006704697906985055
28,5070,50,-12.0,1,0.019985032341855873,0.019985032341855873
29,5071,50,0.0,1,0.022716565206383432,0.022716565206383432
30,5072,50,-5.0,1,0.006348910422035354,0.006348910422035354
31,5073,50,-4.0,1,0.024668145846182318,0.024427787813945084
32,5074,50,-6.0,1,0.02638473194032771,0.0214372350762369
33,5075,50,-4.0,1,0.023741827165345217,0.023394878163590364
34,5076,50,-4.0,1,0.03457123944050754,0.02842934565674116
35,5077,50,-4.0,1,0.01953864802630429,0.01953864802630429
36,5078,50,-8.0,1,0.009792443786318501,0.009631128459635326
