episode,seed,steps,return,success,final_distance,min_distance
0,5042,50,-4.679045081138611,1,0.01901378487317546,0.018840829182940257
1,5043,50,-4.38739287853241,1,0.025838579484111363,0.016955026419516597
2,5044,50,-3.0,1,0.014673797217508082,0.014673797217508082
3,5045,50,-11.95587158203125,1,0.016921733399298453,0.015578014150257963
4,5046,50,0.0,1,0.011343117214765814,0.011343117214761842
5,5047,50,-12.955179691314697,1,0.022175723638038086,0.022175723638038086
6,5048,50,-9.57546091079712,1,0.009316849988127868,0.009316849988127868
7,5049,50,-12.633677959442139,1,0.014339103989004577,0.014339103989004577
8,5050,50,-8.124744176864624,1,0.008405811384835211,0.008405811384835211
9,5051,50,-3.0,1,0.024794799571015765,0.02002583398973129
