episode,seed,steps,return,success,final_distance,min_distance
0,5042,50,-4.679045081138611,1,0.01901378487317546,0.018840829182940257
1,5043,50,-4.38739287853241,1,0.025838579484111363,0.016955026419516597
2,5044,50,-3.0,1,0.014673797217508082,0.014673797217508082
3,5045,50,-11.95587158203125,1,0.016921733399298453,0.015578014150257963
4,5046,50,0.0,1,0.011343117214765814,0.011343117214761842
5,5047,50,-12.955179691314697,1,0.022175723638038086,0.022175723638038086
6,5048,50,-9.57546091079712,1,0.009316849988127868,0.009316849988127868
7,5049,50,-12.633677959442139,1,0.014339103989004577,0.014339103989004577
8,5050,50,-8.124744176864624,1,0.008405811384835211,0.008405811384835211
9,5051,50,-3.0,1,0.024794799571015765,0.02002583398973129
10,5052,50,-4.0,1,0.014073556064659447,0.013851916414109202
11,5053,50,0.0,1,0.025907306664443176,0.025907306664437114
12,5054,50,-3.0,1,0.013748023267971607,0.013748023267971607
13,5055,50,-7.078258156776428,1,0.00716174433553089,0.00716174433553089
14,5056,50,-4.083029389381409,1,0.014441423324196428,0.013952989687769939
15,5057,50,-6.0,1,0.010582170845040375,0.010255077365455735
16,5058,50,-4.0,1,0.029624206704780248,0.023752637917269545
17,5059,50,-3.0,1,0.013383677786407961,0.013383677786407961
18,5060,50,-4.661272168159485,1,0.018895607951372257,0.018895607951372257
19,5061,50,-9.432970523834229,1,0.013243454716354342,0.013243454716354342
20,5062,50,-50.83906173706055,0,0.057420438142593476,0.057107159418590014
21,5063,50,-9.665070533752441,1,0.017505768259070464,0.017505768259070464
22,5064,50,-6.179907917976379,1,0.02207263253350494,0.02207263253350494
23,5065,50,-11.01363742351532,1,0.01659766378112197,0.016461065315411316
24,5066,50,-4.0111894607543945,1,0.015860765398022482,0.015860765398022482
25,5067,50,-4.447224497795105,1,0.022531306321962576,0.022531306321962576
26,5068,50,-8.537194967269897,1,0.009671700933495021,0.009507184973400385
27,5069,50,-4.0,1,0.013777260423406755,0.013777260423406755
28,5070,50,-14.706521391868591,1,0.022588018017532338,0.015767554789082587
29,5071,50,0.0,1,0.023722062360047976,0.02195378218063093
30,5072,50,-4.0,1,0.02002757891388307,0.019602543212015232
31,5073,50,-48.06838500499725,1,0.06395637210164497,0.016384059893012066
32,5074,50,-10.308223605155945,1,0.007154950145969272,0.007154950145969272
33,5075,50,-4.086561679840088,1,0.02016562851137224,0.01984155015432493
